"Anxiety","Group"
0,"High"
0,"High"
0.185185185185185,"High"
0.740740740740741,"High"
0.0740740740740741,"High"
0.481481481481481,"High"
0.0740740740740741,"High"
0.0740740740740741,"High"
0.62962962962963,"High"
0.592592592592593,"High"
0.444444444444444,"High"
0.407407407407407,"High"
0.148148148148148,"High"
0.333333333333333,"High"
0.296296296296296,"High"
0.740740740740741,"High"
0.296296296296296,"High"
0.444444444444444,"High"
0.111111111111111,"High"
0.407407407407407,"High"
0.740740740740741,"High"
0.333333333333333,"High"
0.407407407407407,"High"
0.296296296296296,"High"
0.555555555555556,"High"
0.111111111111111,"High"
0.296296296296296,"High"
0.592592592592593,"High"
0.037037037037037,"High"
0.37037037037037,"High"
0.222222222222222,"High"
0.62962962962963,"High"
0.37037037037037,"High"
0.444444444444444,"High"
0.259259259259259,"High"
0.333333333333333,"High"
0.259259259259259,"High"
0.185185185185185,"High"
0.703703703703704,"High"
0.333333333333333,"High"
0.296296296296296,"High"
0.111111111111111,"High"
0.703703703703704,"High"
0.518518518518518,"High"
0.185185185185185,"High"
0.444444444444444,"High"
0.37037037037037,"High"
0.148148148148148,"High"
0.481481481481481,"High"
0.333333333333333,"High"
0.111111111111111,"High"
0.259259259259259,"High"
0.259259259259259,"High"
0.37037037037037,"High"
0.259259259259259,"High"
0.222222222222222,"High"
0.407407407407407,"High"
0.185185185185185,"High"
0.407407407407407,"High"
0.296296296296296,"High"
0.259259259259259,"High"
0.407407407407407,"High"
0.407407407407407,"High"
0.703703703703704,"High"
0.148148148148148,"High"
0.555555555555556,"High"
0,"High"
0.333333333333333,"High"
0.185185185185185,"High"
0.259259259259259,"High"
0.148148148148148,"High"
0.481481481481481,"High"
0.407407407407407,"High"
0.62962962962963,"High"
0.296296296296296,"High"
0.481481481481481,"High"
0.333333333333333,"High"
0.481481481481481,"High"
0.333333333333333,"High"
0.333333333333333,"High"
0.851851851851852,"High"
0.222222222222222,"High"
0.0740740740740741,"High"
0.592592592592593,"High"
0.148148148148148,"High"
0.222222222222222,"High"
0.555555555555556,"High"
0.555555555555556,"High"
0.740740740740741,"High"
0,"High"
0.296296296296296,"High"
0.111111111111111,"High"
0.481481481481481,"High"
0,"High"
0.37037037037037,"High"
0.148148148148148,"High"
0.777777777777778,"High"
0,"High"
0.444444444444444,"High"
0.333333333333333,"High"
0.222222222222222,"High"
0.444444444444444,"High"
0.62962962962963,"High"
0.703703703703704,"High"
0.481481481481481,"High"
0.518518518518518,"High"
0.111111111111111,"High"
0.0740740740740741,"High"
0.148148148148148,"High"
0.148148148148148,"High"
0.62962962962963,"High"
0.592592592592593,"High"
0.407407407407407,"High"
0.0740740740740741,"High"
0.185185185185185,"High"
0.148148148148148,"High"
0.185185185185185,"High"
0.148148148148148,"High"
0.37037037037037,"High"
0.592592592592593,"High"
0.222222222222222,"High"
0.0740740740740741,"High"
0.37037037037037,"High"
0.333333333333333,"High"
0.407407407407407,"High"
0.444444444444444,"High"
0.037037037037037,"High"
0.592592592592593,"High"
0.592592592592593,"High"
0.037037037037037,"High"
0.37037037037037,"High"
0.0740740740740741,"High"
0.777777777777778,"High"
0.296296296296296,"High"
0.222222222222222,"High"
0.518518518518518,"High"
0.666666666666667,"High"
0.0740740740740741,"High"
0.111111111111111,"High"
0.0740740740740741,"High"
0.259259259259259,"High"
0.37037037037037,"High"
0,"High"
0.259259259259259,"High"
0.407407407407407,"High"
0.333333333333333,"High"
0.259259259259259,"High"
0.222222222222222,"High"
0.666666666666667,"High"
0.518518518518518,"High"
0.111111111111111,"High"
0.444444444444444,"High"
0.222222222222222,"High"
0.481481481481481,"High"
0.259259259259259,"High"
0.148148148148148,"High"
0.62962962962963,"High"
0.222222222222222,"High"
0.518518518518518,"High"
0.592592592592593,"High"
0.037037037037037,"High"
0.666666666666667,"High"
0.0740740740740741,"High"
0.518518518518518,"High"
0.037037037037037,"High"
0.333333333333333,"High"
0.148148148148148,"High"
0.0740740740740741,"High"
0.37037037037037,"High"
0.0740740740740741,"High"
0.259259259259259,"High"
0.0740740740740741,"High"
0.481481481481481,"High"
0.703703703703704,"High"
0.148148148148148,"High"
0.333333333333333,"High"
0.0740740740740741,"High"
0.444444444444444,"High"
0.555555555555556,"High"
0.259259259259259,"High"
0.481481481481481,"High"
0.259259259259259,"High"
0.222222222222222,"High"
0.481481481481481,"High"
0.333333333333333,"High"
0.222222222222222,"High"
0.37037037037037,"High"
0.259259259259259,"High"
0.37037037037037,"High"
0.814814814814815,"High"
0.518518518518518,"High"
0.62962962962963,"High"
0.185185185185185,"High"
0.444444444444444,"High"
0.37037037037037,"High"
0.037037037037037,"High"
0.555555555555556,"High"
0.777777777777778,"High"
0.333333333333333,"High"
0.518518518518518,"High"
0.333333333333333,"High"
0.333333333333333,"High"
0.222222222222222,"High"
0.666666666666667,"High"
0,"High"
0.222222222222222,"High"
0.37037037037037,"High"
0.407407407407407,"High"
0.592592592592593,"High"
0.481481481481481,"High"
0.37037037037037,"High"
0.407407407407407,"High"
0.740740740740741,"High"
0.259259259259259,"High"
0.111111111111111,"High"
0.518518518518518,"High"
0.407407407407407,"High"
0.481481481481481,"High"
0.62962962962963,"High"
0.592592592592593,"High"
0.111111111111111,"High"
0.481481481481481,"High"
0.222222222222222,"High"
0.259259259259259,"High"
0.518518518518518,"High"
0.111111111111111,"High"
0.185185185185185,"High"
0.296296296296296,"High"
0.222222222222222,"High"
0.222222222222222,"High"
0.555555555555556,"High"
0.444444444444444,"High"
0.592592592592593,"High"
0.259259259259259,"High"
0.37037037037037,"High"
0.259259259259259,"High"
0.555555555555556,"High"
0.185185185185185,"High"
0.0740740740740741,"High"
0.333333333333333,"High"
0.148148148148148,"High"
0.333333333333333,"High"
0.111111111111111,"High"
0.407407407407407,"High"
0.222222222222222,"High"
0.296296296296296,"High"
0.185185185185185,"High"
0.407407407407407,"High"
0.111111111111111,"High"
0.222222222222222,"High"
0.444444444444444,"High"
0.37037037037037,"High"
0.037037037037037,"High"
0.555555555555556,"High"
0.666666666666667,"High"
0.0740740740740741,"High"
0.185185185185185,"High"
0.111111111111111,"High"
0.555555555555556,"High"
0.259259259259259,"High"
0.777777777777778,"High"
0.740740740740741,"High"
0.111111111111111,"High"
0.592592592592593,"High"
0.259259259259259,"High"
0.592592592592593,"High"
0.592592592592593,"High"
0.555555555555556,"High"
0.333333333333333,"High"
0.259259259259259,"High"
0.37037037037037,"High"
0.814814814814815,"High"
0.555555555555556,"High"
0.185185185185185,"High"
0.185185185185185,"High"
0.37037037037037,"High"
0.333333333333333,"High"
0.259259259259259,"High"
0.259259259259259,"High"
0.259259259259259,"High"
0.62962962962963,"High"
0,"High"
0.037037037037037,"High"
0.592592592592593,"High"
0.111111111111111,"High"
0.296296296296296,"High"
0.111111111111111,"High"
0.703703703703704,"High"
0.444444444444444,"High"
0.62962962962963,"High"
0.407407407407407,"High"
0.333333333333333,"High"
0.259259259259259,"High"
0.37037037037037,"High"
0.222222222222222,"High"
0.0740740740740741,"High"
0.148148148148148,"High"
0.333333333333333,"High"
0.037037037037037,"High"
0.259259259259259,"High"
0.259259259259259,"High"
0.333333333333333,"High"
0,"High"
0.148148148148148,"High"
0.333333333333333,"High"
0.222222222222222,"High"
0.62962962962963,"High"
0.222222222222222,"High"
0.222222222222222,"High"
0.666666666666667,"High"
0.555555555555556,"High"
0.407407407407407,"High"
0.222222222222222,"High"
0.185185185185185,"High"
0.481481481481481,"High"
0.185185185185185,"High"
0.148148148148148,"High"
0.185185185185185,"High"
0,"High"
0.555555555555556,"High"
0.111111111111111,"High"
0.148148148148148,"High"
0.703703703703704,"High"
0.111111111111111,"High"
